palabra1,palabra2,idioma1,idioma2,dist_euclidiana,dist_coseno,sim_ort,comparten_inicial,diff_len,label
realize,moment,en,en,0.975625738,0.524063204,0.153846154,0,1,O
realize,contemplate,en,en,0.917782638,0.578844786,0.333333333,0,4,O
moment,contemplate,en,en,0.988146624,0.51177204,0.352941176,0,5,O
manner,describe,en,en,1.043067999,0.456030998,0.285714286,0,2,O
instance,describe,en,en,0.995041778,0.504959925,0.25,0,0,O
manner,instance,en,en,1.024674539,0.475029815,0.428571429,0,2,O
capture,escape,en,en,0.938478204,0.559658159,0.615384615,0,1,O
capture,destroy,en,en,0.988653337,0.511299639,0.285714286,0,0,O
destroy,escape,en,en,0.952741969,0.546152267,0.307692308,0,1,O
trap,capture,en,en,1.039883917,0.459351813,0.363636364,0,3,O
trap,escape,en,en,0.937307591,0.560747454,0.4,0,2,O
disaster,accident,en,en,0.896682145,0.597985935,0.25,0,0,O
disaster,explosion,en,en,0.960594837,0.538615986,0.117647059,0,1,O
accident,explosion,en,en,0.922351739,0.574645373,0.235294118,0,1,O
examine,describe,en,en,0.998686873,0.501338881,0.4,0,1,O
examine,articulate,en,en,1.041136667,0.458020743,0.117647059,0,3,O
describe,articulate,en,en,1.041052712,0.458111814,0.111111111,0,2,O
ceremony,celebrate,en,en,0.933617074,0.564181363,0.470588235,1,1,O
ceremony,parade,en,en,1.026116616,0.473523085,0.142857143,0,2,O
celebrate,parade,en,en,0.962798167,0.536481035,0.4,0,3,O
dinner,ceremony,en,en,0.976555011,0.523178206,0.285714286,0,2,O
dinner,celebrate,en,en,0.982411426,0.517429704,0.266666667,0,3,O
dinner,feast,en,en,0.983640341,0.516235631,0.181818182,0,1,O
ceremony,feast,en,en,1.043406924,0.455668966,0.153846154,0,3,O
celebrate,feast,en,en,0.925467012,0.571758593,0.428571429,0,4,O
invite,invitation,en,en,0.814227849,0.668509695,0.625,1,4,O
invite,attend,en,en,0.988544121,0.511386097,0.333333333,0,0,O
invitation,attend,en,en,1.039992111,0.459207764,0.375,0,4,O
flower,fruit,en,en,0.910478896,0.585519437,0.363636364,1,1,O
vegetable,fruit,en,en,0.871577088,0.620188582,0.142857143,0,4,O
vegetable,corn,en,en,0.882007494,0.611026459,0,0,5,O
corn,fruit,en,en,0.980139082,0.519645951,0.222222222,0,1,O
avocado,corn,en,en,0.955901731,0.543139338,0.181818182,0,3,O
avocado,fruit,en,en,0.848377581,0.640154122,0,0,2,O
grape,juice,en,en,0.936069805,0.561923069,0.2,0,0,O
grape,fruit,en,en,0.884838584,0.608553303,0.2,0,0,O
juice,fruit,en,en,0.880618317,0.612267908,0.4,0,0,O
grape,avocado,en,en,0.949104378,0.549656692,0.166666667,0,2,O
juice,lemon,en,en,0.859200594,0.630892674,0.2,0,0,O
fruit,lemon,en,en,0.996431282,0.503557614,0,0,0,O
avocado,juice,en,en,0.924572809,0.572624341,0.166666667,0,2,O
avocado,lemon,en,en,0.975668632,0.524062352,0.166666667,0,2,O
avocado,vegetable,en,en,0.874378351,0.617768541,0.125,0,2,O
disaster,catastrophe,en,en,0.803772119,0.676962562,0.421052632,0,3,O
explosion,catastrophe,en,en,0.940613087,0.557612517,0.1,0,2,O
contemplate,imagine,en,en,0.949491653,0.549235928,0.222222222,0,4,O
realize,admit,en,en,0.826620064,0.658336938,0.333333333,0,2,O
realize,pretend,en,en,0.806472783,0.674808225,0.428571429,0,0,O
admit,pretend,en,en,0.885573577,0.607869937,0.166666667,0,2,O
locate,examine,en,en,0.976021952,0.523689911,0.307692308,0,1,O
investigate,examine,en,en,0.76378734,0.7083215,0.333333333,0,4,O
investigate,locate,en,en,0.943714231,0.554691111,0.352941176,0,5,O
probe,examine,en,en,1.045697867,0.453278495,0.166666667,0,2,O
probe,investigate,en,en,0.991346211,0.508623753,0.125,0,6,O
insist,pretend,en,en,0.855742531,0.633847403,0.153846154,0,1,O
pretend,ignore,en,en,0.855611711,0.633976075,0.307692308,0,1,O
brilliant,extraordinary,en,en,1.012293204,0.487632626,0.272727273,0,4,O
brilliant,terrific,en,en,0.879972306,0.612825625,0.352941176,0,1,O
extraordinary,terrific,en,en,1.023636337,0.476077616,0.380952381,0,5,O
extraordinary,incredible,en,en,0.905153567,0.59037263,0.260869565,0,3,O
incredible,terrific,en,en,0.796945337,0.68245793,0.222222222,0,2,O
insist,admit,en,en,0.871052318,0.62060606,0.363636364,0,1,O
adapt,accommodate,en,en,1.028181905,0.471376832,0.5,1,6,O
adapt,introduce,en,en,0.997679643,0.502299702,0.142857143,0,4,O
accommodate,introduce,en,en,1.047514267,0.451346594,0.3,0,2,O
adopt,adapt,en,en,0.962172334,0.537098499,0.8,1,0,O
adopt,introduce,en,en,0.891107766,0.602977405,0.142857143,0,4,O
blouse,costume,en,en,0.923603362,0.573485609,0.461538462,0,1,O
blouse,gloves,en,en,0.97558503,0.524111998,0.5,0,0,O
costume,gloves,en,en,1.016415358,0.483478117,0.307692308,0,1,O
brilliant,glorious,en,en,0.977572984,0.522175392,0.235294118,0,1,O
brilliant,magnificent,en,en,0.955368416,0.543650452,0.4,0,2,O
glorious,magnificent,en,en,0.962280068,0.537014788,0.210526316,0,3,O
asylum,deport,en,en,1.025344479,0.474346168,0,0,0,O
detain,deport,en,en,0.819858915,0.663908132,0.5,1,0,O
asylum,detain,en,en,1.021635777,0.478156414,0.166666667,0,0,O
nervous,constipated,en,en,1.040113056,0.459053228,0.222222222,0,4,O
appetite,constipated,en,en,0.960823053,0.538406115,0.421052632,0,3,O
nervous,appetite,en,en,0.993434542,0.506542783,0.133333333,0,1,O
allergic,nervous,en,en,0.965245622,0.534135689,0.266666667,0,1,O
allergic,constipated,en,en,0.925129364,0.572052082,0.210526316,0,3,O
blouse,fabric,en,en,0.962530867,0.536762146,0.166666667,0,0,O
fabric,gloves,en,en,1.048621266,0.450211515,0,0,0,O
brave,ferocious,en,en,1.017110884,0.482718146,0.142857143,0,4,O
brave,terrific,en,en,1.034406632,0.464982708,0.153846154,0,3,O
ferocious,terrific,en,en,0.963622867,0.535703996,0.352941176,0,1,O
remark,insult,en,en,0.831248802,0.654488688,0,0,0,O
remark,apology,en,en,0.854563093,0.634855249,0.153846154,0,1,O
insult,apology,en,en,0.944930204,0.55351494,0.153846154,0,1,O
actuality,pretension,en,en,1.028134602,0.471471079,0.210526316,0,1,O
actuality,necessity,en,en,0.978405673,0.521369791,0.444444444,0,0,O
pretension,necessity,en,en,1.009391312,0.490590407,0.421052632,0,1,O
delicate,demure,en,en,1.027499611,0.472144342,0.428571429,1,2,O
delicate,gentle,en,en,0.966529549,0.532911733,0.428571429,0,2,O
gentle,demure,en,en,1.014953181,0.484935298,0.333333333,0,0,O
embarrassed,disgust,en,en,0.849432593,0.639230876,0.222222222,0,4,O
embarrassed,furious,en,en,0.894749876,0.599702641,0.222222222,0,4,O
disgust,furious,en,en,0.971142538,0.528466588,0.428571429,0,0,O
embarrassed,fiancé,en,en,0.986695242,0.513198784,0.117647059,0,5,O
fiancé,furious,en,en,1.003844739,0.496158803,0.307692308,1,1,O
disgrace,disgust,en,en,0.92491312,0.572267276,0.533333333,1,1,O
disgrace,regret,en,en,0.934458009,0.563376618,0.428571429,0,2,O
disgust,regret,en,en,0.863348001,0.627327635,0.307692308,0,1,O
contagious,allergic,en,en,1.01005439,0.489892925,0.333333333,0,2,O
contagious,influenza,en,en,0.917507646,0.579074265,0.210526316,0,1,O
allergic,influenza,en,en,0.990923271,0.509012275,0.117647059,0,1,O
embarrassed,disgrace,en,en,0.950954137,0.547808222,0.315789474,0,3,O
embarrassed,intoxicated,en,en,0.966104565,0.53332175,0.272727273,0,0,O
disgust,intoxicated,en,en,1.023067789,0.476706669,0.111111111,0,4,O
envy,disgust,en,en,0.979121331,0.520681771,0,0,3,O
envy,appetite,en,en,1.023520151,0.476218927,0.166666667,0,4,O
disgust,appetite,en,en,1.000435495,0.499593579,0.266666667,0,1,O
envy,disgrace,en,en,1.043307539,0.45573851,0.166666667,0,4,O
costa,playa,es,es,0.977633055,0.522127789,0.2,0,0,O
costa,isla,es,es,1.04268478,0.456419981,0.444444444,0,1,O
playa,isla,es,es,1.016480172,0.483408103,0.444444444,0,1,O
mucho,especialmente,es,es,0.975140236,0.524575496,0.111111111,0,8,O
mucho,últimamente,es,es,1.005295902,0.494684651,0.125,0,6,O
especialmente,últimamente,es,es,0.967146457,0.532318498,0.583333333,0,2,O
demorar,realizar,es,es,0.946399112,0.552190239,0.4,0,1,O
demorar,dar,es,es,0.981862246,0.517959309,0.6,1,4,O
realizar,dar,es,es,0.96867031,0.530834523,0.363636364,0,5,O
realizar,interrumpir,es,es,0.95354389,0.545397553,0.315789474,0,3,O
realizar,continuar,es,es,0.914748927,0.581645502,0.352941176,0,1,O
interrumpir,continuar,es,es,0.941753954,0.556565454,0.3,0,2,O
demorar,interrumpir,es,es,0.940178744,0.558043264,0.333333333,0,4,O
policía,asesino,es,es,0.996507647,0.503450586,0.142857143,0,0,O
asesino,agente,es,es,1.034234717,0.46515543,0.461538462,1,1,O
policía,agente,es,es,1.021520661,0.478240716,0.153846154,0,1,O
fiesta,celebrar,es,es,0.884147097,0.609141793,0.285714286,0,2,O
fiesta,boda,es,es,0.948914006,0.54976299,0.2,0,2,O
celebrar,boda,es,es,0.974524951,0.525137392,0.333333333,0,4,O
entrar,regresar,es,es,0.907813681,0.587919286,0.571428571,0,2,O
entrar,continuar,es,es,0.946543565,0.552012039,0.533333333,0,3,O
continuar,regresar,es,es,0.861915657,0.628569038,0.235294118,0,1,O
entrar,escapar,es,es,0.98358782,0.516243788,0.461538462,1,1,O
regresar,escapar,es,es,0.899069675,0.595842725,0.533333333,0,1,O
accidente,desastre,es,es,0.919457378,0.577281562,0.470588235,0,1,O
accidente,explosión,es,es,0.966041542,0.533356037,0.222222222,0,0,O
desastre,explosión,es,es,0.958250933,0.540854244,0.235294118,0,1,O
accidente,catástrofe,es,es,0.987773901,0.512126893,0.210526316,0,1,O
catástrofe,explosión,es,es,0.884586909,0.608729696,0.105263158,0,1,O
accidente,suceso,es,es,1.006535772,0.493434162,0.266666667,0,3,O
desastre,suceso,es,es,0.993178901,0.506791599,0.285714286,0,2,O
catástrofe,desastre,es,es,0.655344436,0.785252041,0.555555556,0,2,O
lectura,lección,es,es,1.043698922,0.455369248,0.428571429,1,0,O
lectura,introducción,es,es,1.012517753,0.487413342,0.105263158,0,5,O
lección,introducción,es,es,1.014814574,0.485107335,0.526315789,0,5,O
fianza,delito,es,es,0.972990134,0.526641621,0.166666667,0,0,O
fianza,juicio,es,es,0.998910286,0.501100461,0.166666667,0,0,O
delito,juicio,es,es,0.948808105,0.549903127,0.333333333,0,0,O
apuntar,abatir,es,es,0.978812153,0.520946019,0.461538462,1,1,O
apuntar,arma,es,es,1.014342763,0.48552201,0.363636364,1,3,O
abatir,arma,es,es,1.003485909,0.496517191,0.4,1,2,O
enorme,extraordinario,es,es,1.0422205,0.456912891,0.3,1,8,O
extraordinario,increíble,es,es,0.989820923,0.510168475,0.260869565,0,5,O
enorme,increíble,es,es,0.911613663,0.584490481,0.266666667,0,3,O
celebrar,ceremonia,es,es,0.986823388,0.513091563,0.470588235,1,1,O
boda,ceremonia,es,es,0.985904965,0.513978106,0.307692308,0,5,O
marchar,regresar,es,es,0.76496596,0.707412321,0.266666667,0,1,O
marchar,continuar,es,es,0.928499499,0.568946229,0.25,0,2,O
marchar,escapar,es,es,0.957372999,0.541704501,0.285714286,0,0,O
capturar,trampa,es,es,1.028667522,0.470942413,0.428571429,0,2,O
capturar,escapar,es,es,0.877491402,0.615015223,0.666666667,0,1,O
trampa,escapar,es,es,0.951838531,0.547001499,0.461538462,0,1,O
capturar,hurtar,es,es,0.980825871,0.51900304,0.571428571,0,2,O
hurtar,escapar,es,es,0.990905702,0.509046374,0.307692308,0,1,O
insistir,compromiso,es,es,1.047773482,0.451070097,0.222222222,0,2,O
insistir,acordar,es,es,0.916121662,0.580350579,0.133333333,0,1,O
compromiso,acordar,es,es,1.041969582,0.4571263,0.352941176,0,3,O
capturar,localizar,es,es,0.893625475,0.600740321,0.470588235,0,1,O
capturar,destruir,es,es,0.916572681,0.579957039,0.375,0,0,O
localizar,destruir,es,es,0.922887702,0.574145271,0.235294118,0,1,O
víctima,delito,es,es,0.986992406,0.512937799,0.153846154,0,1,O
víctima,violación,es,es,1.025656287,0.47402857,0.375,1,2,O
delito,violación,es,es,0.887321458,0.606335809,0.266666667,0,3,O
automóvil,taxi,es,es,0.942354923,0.555971167,0.307692308,0,5,O
automóvil,cabina,es,es,1.048275803,0.450562382,0.266666667,0,3,O
taxi,cabina,es,es,1.038907493,0.460330062,0.4,0,2,O
automóvil,vagón,es,es,1.021469099,0.478284444,0.285714286,0,4,O
vagón,cabina,es,es,1.002164428,0.497826732,0.363636364,0,1,O
automóvil,bicicleta,es,es,0.984238736,0.515634243,0.111111111,0,0,O
bicicleta,taxi,es,es,0.966304502,0.533117354,0.307692308,0,5,O
vagón,bicicleta,es,es,1.047073039,0.451805296,0.142857143,0,4,O
vagón,taxi,es,es,1.008982448,0.490953163,0.222222222,0,1,O
detener,interrumpir,es,es,0.908536218,0.587293516,0.333333333,0,4,O
detener,demorar,es,es,0.960035827,0.539185436,0.428571429,1,0,O
contemplar,recordar,es,es,1.017373481,0.482451192,0.444444444,0,2,O
contemplar,imaginar,es,es,0.962422205,0.53683686,0.333333333,0,2,O
recordar,imaginar,es,es,0.911363572,0.58467315,0.25,0,0,O
exclamar,recordar,es,es,1.048662219,0.450169224,0.5,0,0,O
exclamar,consolar,es,es,1.037797249,0.461488161,0.5,0,0,O
recordar,consolar,es,es,1.018222981,0.481566976,0.5,0,0,O
decidir,discutir,es,es,0.910690914,0.585326194,0.4,1,1,O
decidir,acordar,es,es,0.929797811,0.567747091,0.285714286,0,0,O
discutir,acordar,es,es,0.882577991,0.610509511,0.266666667,0,1,O
delito,apología,es,es,1.031933578,0.467552453,0.285714286,0,2,O
apología,injuria,es,es,1.006744133,0.493222171,0.133333333,0,1,O
delito,injuria,es,es,0.950695198,0.548091055,0.153846154,0,1,O
asistir,invitación,es,es,1.005249745,0.49472517,0.235294118,0,3,O
asistir,invitar,es,es,0.861814533,0.6286486,0.285714286,0,0,O
invitación,invitar,es,es,0.849850705,0.6388823,0.705882353,1,3,O
investigar,localizar,es,es,0.897836784,0.596956765,0.315789474,0,1,O
investigar,examinar,es,es,0.855552827,0.634014354,0.444444444,0,2,O
localizar,examinar,es,es,0.961720256,0.537555836,0.470588235,0,1,O
probar,inventar,es,es,0.953397871,0.54550317,0.285714286,0,2,O
probar,introducir,es,es,1.018417473,0.481409546,0.375,0,4,O
introducir,inventar,es,es,0.935739852,0.56217351,0.444444444,1,2,O
introducir,retirar,es,es,0.988612305,0.511303847,0.352941176,0,3,O
introducir,remover,es,es,0.997492742,0.502475381,0.352941176,0,3,O
retirar,remover,es,es,0.845595885,0.642459212,0.428571429,1,0,O
introducir,apuntar,es,es,0.97402501,0.52560318,0.352941176,0,3,O
introducir,actualizar,es,es,0.943978347,0.554437402,0.2,0,0,O
apuntar,actualizar,es,es,0.978736451,0.520999874,0.470588235,1,3,O
insistir,discutir,es,es,0.88622711,0.607288069,0.625,0,0,O
insistir,hable,es,es,1.032769282,0.466667003,0,0,3,O
discutir,hable,es,es,1.02222073,0.477493683,0,0,3,O
insistir,contestar,es,es,0.872884506,0.619036739,0.470588235,0,1,O
discutir,contestar,es,es,0.936643182,0.561339807,0.352941176,0,1,O
magnífico,extraordinario,es,es,0.980341889,0.519490809,0.347826087,0,5,O
magnífico,increíble,es,es,0.974177735,0.525504571,0.222222222,0,0,O
nervioso,constipado,es,es,1.045552299,0.453377199,0.333333333,0,2,O
nervioso,alergico,es,es,1.041578566,0.45756513,0.5,0,0,O
constipado,alergico,es,es,1.038195126,0.461056465,0.222222222,0,2,O
casualidad,afortunadamente,es,es,0.961152589,0.538099825,0.4,0,5,O
casualidad,desgracia,es,es,0.997365996,0.502656564,0.210526316,0,1,O
afortunadamente,desgracia,es,es,0.851307917,0.637653027,0.166666667,0,6,O
ignorar,insistir,es,es,0.844373803,0.64352132,0.4,1,1,O
ignorar,Advertencia,es,es,1.001396435,0.498607228,0.222222222,0,4,O
insistir,Advertencia,es,es,1.036799797,0.462516146,0.105263158,0,3,O
molesto,disgusto,es,es,0.888379052,0.605398252,0.4,0,1,O
molesto,molestar,es,es,0.797766965,0.681785082,0.8,1,1,O
disgusto,molestar,es,es,0.941272909,0.557019096,0.25,0,0,O
ignorar,admitir,es,es,0.920797893,0.576082182,0.285714286,0,0,O
ignorar,contestar,es,es,0.894611603,0.599844352,0.375,0,2,O
admitir,contestar,es,es,0.942264846,0.556080235,0.25,0,2,O
insistir,admitir,es,es,0.871452144,0.620291997,0.533333333,0,1,O
designio,pretensión,es,es,0.993752268,0.506213508,0.444444444,0,2,O
designio,pretender,es,es,1.0439065,0.455148473,0.235294118,0,1,O
pretensión,pretender,es,es,0.889306466,0.604558716,0.631578947,1,1,O
engañar,molestar,es,es,0.912524241,0.583654803,0.4,0,1,O
engañar,despistar,es,es,0.909189183,0.586690468,0.375,0,2,O
molestar,despistar,es,es,0.961146024,0.538107566,0.588235294,0,1,O
pretender,alienar,es,es,0.948206602,0.550467328,0.375,0,2,O
imaginar,alienar,es,es,0.994028294,0.505932041,0.533333333,0,1,O
pretender,imaginar,es,es,0.960822653,0.538393952,0.117647059,0,1,O
insulto,grosería,es,es,0.842995125,0.644694913,0.133333333,0,1,O
insulto,injuria,es,es,0.919437671,0.577321084,0.428571429,1,0,O
grosería,injuria,es,es,0.987020755,0.512906586,0.266666667,0,1,O
archivar,insistir,es,es,1.001234952,0.498775876,0.125,0,0,O
archivar,contestar,es,es,0.970954896,0.528638711,0.235294118,0,1,O
grosería,disgusto,es,es,0.970621342,0.528972694,0.25,0,0,O
grosería,molestar,es,es,0.974917238,0.524787384,0.125,0,0,O
insistir,pretender,es,es,0.934410499,0.563446141,0.235294118,0,1,O
insistir,alienar,es,es,0.983888297,0.515985719,0.4,0,1,O
grosería,apología,es,es,1.033853452,0.465580056,0.375,0,0,O
concert,music,en,en,0.946386871,0.552167318,0.166666667,0,2,O
firm,company,en,en,0.869610085,0.621881626,0.181818182,0,3,O
college,bachelor,en,en,0.970523271,0.529032814,0.266666667,0,1,O
college,educated,en,en,1.025691381,0.473967288,0.266666667,0,1,O
importance,class,en,en,1.032249994,0.467224789,0.133333333,0,5,O
major,important,en,en,1.031267458,0.468239129,0.428571429,0,4,O
actually,much,en,en,0.927058412,0.570260417,0.166666667,0,4,O
especially,much,en,en,0.934405431,0.563443637,0.142857143,0,6,O
enormous,much,en,en,0.993406664,0.506549859,0.333333333,0,4,O
notice,note,en,en,1.030441187,0.469091838,0.8,1,2,O
enormous,large,en,en,0.778858723,0.696688379,0.153846154,0,3,O
island,coast,en,en,1.023745755,0.475966693,0.181818182,0,1,O
interesting,important,en,en,0.943651074,0.554754666,0.3,1,2,O
especially,important,en,en,0.949791003,0.54896034,0.210526316,0,1,O
famous,important,en,en,0.957509123,0.541609727,0.133333333,0,3,O
common,instance,en,en,1.021427609,0.478341156,0.142857143,0,2,O
chimpanzee,human,en,en,1.031117874,0.468454131,0.533333333,0,5,O
construction,design,en,en,0.985099706,0.514768307,0.111111111,0,6,O
comic,character,en,en,0.949445459,0.549264698,0.285714286,1,4,O
cast,character,en,en,1.018076721,0.481733798,0.461538462,1,5,O
novel,character,en,en,1.046671262,0.452226042,0.142857143,0,4,O
arm,body,en,en,1.0250068,0.474656196,0,0,1,O
actuality,actually,en,en,0.906136414,0.589445275,0.823529412,1,1,O
magazine,journalist,en,en,1.047027435,0.451875203,0.222222222,0,2,O
able,fortunately,en,en,0.961479147,0.537751624,0.266666667,0,7,O
able,locate,en,en,0.987759784,0.512156161,0.4,0,2,O
able,decide,en,en,1.015359222,0.484526539,0.2,0,2,O
artist,comic,en,en,1.047541789,0.451340105,0.181818182,0,1,O
concrete,construction,en,en,0.965084514,0.534291093,0.5,1,4,O
especially,instance,en,en,0.914341873,0.58200234,0.111111111,0,2,O
librarian,library,en,en,0.760635438,0.710705272,0.75,1,2,O
got,fortunately,en,en,1.041962926,0.457114003,0.285714286,0,8,O
adventure,novel,en,en,1.024327877,0.475386724,0.285714286,0,4,O
discuss,topic,en,en,1.024787178,0.474940542,0.333333333,0,2,O
argument,topic,en,en,1.031100563,0.468463156,0.153846154,0,3,O
interesting,topic,en,en,1.03175829,0.46775033,0.125,0,6,O
famous,favorite,en,en,0.99998172,0.50005997,0.428571429,1,2,O
famous,magnificent,en,en,1.011852272,0.488116731,0.117647059,0,5,O
appear,disappear,en,en,0.932329008,0.56537413,0.8,0,3,O
actually,appear,en,en,1.029083607,0.470482962,0.285714286,1,2,O
success,achieve,en,en,1.013073364,0.486845855,0.285714286,0,0,O
bachelor,master,en,en,0.946511891,0.552050484,0.428571429,0,2,O
actually,directly,en,en,1.000641839,0.499346397,0.5,0,0,O
immediately,directly,en,en,1.034908638,0.46448029,0.526315789,0,3,O
cause,serious,en,en,0.990293815,0.50964081,0.333333333,0,2,O
cause,confusion,en,en,1.030264893,0.469249874,0.428571429,1,4,O
cause,allergic,en,en,1.043885243,0.455120933,0.153846154,0,3,O
resume,continue,en,en,0.855587103,0.633979966,0.142857143,0,2,O
engage,continue,en,en,0.976588224,0.523117658,0.142857143,0,2,O
insist,continue,en,en,0.990010641,0.509909685,0.285714286,0,2,O
fiancé,parents,en,en,0.928961571,0.568510682,0.307692308,0,1,O
parents,immigrants,en,en,0.965989959,0.5334375,0.470588235,0,3,O
importance,important,en,en,0.996598771,0.503405429,0.842105263,1,1,O
importance,necessity,en,en,1.038485999,0.460805478,0.315789474,0,1,O
argument,remark,en,en,0.927002557,0.570357526,0.285714286,0,2,O
achieve,improve,en,en,0.938948385,0.559185375,0.428571429,0,0,O
introduce,improve,en,en,1.020339581,0.479456017,0.5,1,2,O
decent,improve,en,en,1.040432838,0.458740757,0.153846154,0,1,O
resumé,biography,en,en,1.046263901,0.452699982,0.133333333,0,3,O
serious,fortunately,en,en,0.998324386,0.501647854,0.111111111,0,4,O
injury,serious,en,en,1.005414377,0.494567986,0.307692308,0,1,O
cafeteria,floor,en,en,0.963425109,0.535911106,0.285714286,0,4,O
cartoon,comic,en,en,0.898588482,0.596256555,0.333333333,1,2,O
object,instance,en,en,1.042203243,0.456919793,0.142857143,0,2,O
affluent,educated,en,en,1.017257426,0.482604579,0.25,0,0,O
educated,parents,en,en,1.046466287,0.452449038,0.266666667,0,1,O
introduce,introduction,en,en,0.909531704,0.586363235,0.761904762,1,3,O
introduction,evolution,en,en,1.039286183,0.459914741,0.571428571,0,3,O
confusing,interesting,en,en,0.935509065,0.562405949,0.5,0,2,O
discuss,examine,en,en,0.926352136,0.570960311,0.142857143,0,0,O
magician,magic,en,en,0.782175837,0.694105054,0.769230769,1,3,O
curse,magic,en,en,1.044676103,0.454304054,0.2,0,0,O
absolutely,moment,en,en,0.995340168,0.504616386,0.25,0,4,O
injury,retire,en,en,0.988135578,0.511777479,0.333333333,0,0,O
injury,accident,en,en,0.999138124,0.500869649,0.285714286,0,2,O
exit,enter,en,en,1.030200946,0.469339988,0.444444444,1,1,O
determine,examine,en,en,0.876419643,0.615948793,0.625,0,2,O
determine,decide,en,en,0.891650425,0.602475638,0.4,1,3,O
determine,depend,en,en,0.929800151,0.567719003,0.533333333,1,3,O
camera,lens,en,en,0.872009627,0.619829857,0.2,0,2,O
candid,camera,en,en,1.015797504,0.484110261,0.333333333,1,0,O
conductor,cable,en,en,1.036669176,0.462679358,0.142857143,1,4,O
